1,2,3,4,5,6,7,8
år,Danmark,kamp,Danmark,år,regering,land,barn
gå,dansk,klub,smitte,gå,dansk,EU,sag
ung,år,år,gå,menneske,Aarhus,Kina,år
liv,museum,dansk,samfund,tid,år,Europa,kvinde
dag,land,sæson,give,dag,krone,verden,dag
arbejde,København,spille,dag,USA,coronakrise,krise,mene
gang,flygtning,spiller,lukke,natur,nyhed,år,Danmark
tid,procent,FC,mene,verden,give,Tyskland,ung
elev,dag,hold,gammel,skrive,Danmark,europæisk,dansk
skole,del,gang,land,stå,virksomhed,økonomisk,Støjberg
barn,mene,superliga,holde,historie,Frederiksen,politisk,vise
stå,krone,første,vise,sted,grøn,kinesisk,gå
skrive,vise,dag,åbne,tale,parti,dansk,bog
familie,regering,vinde,menneske,bog,politisk,USA,undersøgelse
tale,stå,fodbold,genåbning,liv,Mette,stå,give
finde,gå,Tour,regering,sort,penge,Danmark,forælder
menneske,grøn,mål,bruge,hvid,mene,penge,skrive
fortælle,sted,køre,tid,amerikansk,venstre,tysk,tid
første,område,gå,coronakrise,finde,gå,Rusland,Inger
give,million,FCK,patient,dansk,stå,international,universitet
